iter	Passed	Remaining
279	4666	11999
280	4680	11976
281	4697	11960
282	4714	11943
283	4728	11921
284	4744	11903
285	4760	11885
286	4776	11865
287	4791	11846
288	4808	11829
289	4825	11815
290	4842	11799
291	4859	11781
292	4875	11765
293	4892	11748
294	4909	11732
295	4923	11708
296	4939	11690
297	4956	11676
298	4974	11662
299	4992	11649
300	5011	11638
301	5029	11624
302	5044	11603
303	5061	11587
304	5077	11570
305	5092	11548
306	5108	11532
307	5124	11514
308	5140	11496
309	5157	11479
310	5174	11462
311	5190	11445
312	5207	11430
313	5223	11412
314	5239	11394
315	5255	11375
316	5270	11356
317	5287	11339
318	5303	11321
319	5322	11309
320	5338	11292
321	5354	11275
322	5370	11257
323	5386	11239
324	5404	11224
325	5417	11201
326	5433	11182
327	5450	11167
328	5467	11151
329	5484	11135
330	5500	11117
331	5518	11102
332	5533	11084
333	5551	11069
334	5569	11055
335	5585	11037
336	5602	11021
337	5617	11001
338	5635	10987
339	5651	10969
340	5667	10953
341	5684	10937
342	5703	10924
343	5720	10908
344	5738	10894
345	5755	10878
346	5775	10867
347	5790	10849
348	5807	10832
349	5825	10818
350	5841	10800
351	5858	10784
352	5875	10768
353	5891	10750
354	5908	10735
355	5924	10717
356	5940	10699
357	5957	10684
358	5976	10670
359	5993	10655
360	6010	10639
361	6028	10624
362	6046	10609
363	6062	10592
364	6079	10577
365	6096	10561
366	6114	10545
367	6131	10530
368	6146	10510
369	6164	10495
370	6178	10475
371	6195	10459
372	6212	10442
373	6229	10426
374	6246	10410
375	6260	10390
376	6276	10371
377	6292	10354
378	6308	10336
379	6325	10319
380	6340	10300
381	6356	10283
382	6372	10265
383	6387	10246
384	6404	10229
385	6420	10212
386	6436	10195
387	6454	10180
388	6472	10166
389	6490	10151
390	6508	10136
391	6524	10119
392	6540	10102
393	6556	10084
394	6573	10068
395	6588	10048
396	6605	10032
397	6621	10014
398	6637	9997
399	6656	9984
400	6676	9972
401	6691	9954
402	6710	9940
403	6726	9922
404	6743	9906
405	6759	9889
406	6777	9874
407	6793	9857
408	6809	9839
409	6827	9824
410	6843	9807
411	6861	9792
412	6876	9773
413	6892	9756
414	6909	9739
415	6924	9721
416	6938	9700
417	6956	9685
418	6976	9674
419	6996	9662
420	7013	9646
421	7030	9629
422	7048	9614
423	7065	9598
424	7084	9584
425	7100	9566
426	7119	9553
427	7135	9536
428	7153	9520
429	7170	9505
430	7188	9489
431	7206	9474
432	7223	9458
433	7238	9440
434	7255	9423
435	7272	9407
436	7290	9392
437	7305	9374
438	7323	9359
439	7341	9343
440	7357	9326
441	7374	9309
442	7392	9295
443	7408	9277
444	7426	9262
445	7443	9246
446	7462	9232
447	7478	9215
448	7496	9200
449	7513	9183
450	7533	9170
451	7553	9157
452	7570	9141
453	7587	9124
454	7604	9108
455	7618	9088
456	7635	9072
457	7651	9054
458	7670	9041
459	7686	9023
460	7704	9008
461	7721	8992
462	7741	8979
463	7757	8961
464	7772	8942
465	7793	8930
466	7811	8914
467	7827	8897
468	7843	8880
469	7859	8862
470	7876	8846
471	7895	8832
472	7912	8816
473	7929	8799
474	7946	8782
475	7963	8766
476	7980	8750
477	8000	8737
478	8016	8719
479	8034	8703
480	8049	8685
481	8065	8667
482	8084	8653
483	8100	8635
484	8117	8619
485	8135	8604
486	8154	8589
487	8170	8572
488	8187	8556
489	8204	8539
490	8222	8524
491	8238	8506
492	8253	8488
493	8270	8471
494	8288	8456
495	8305	8439
496	8321	8422
497	8338	8405
498	8354	8388
499	8370	8370
500	8386	8353
501	8403	8336
502	8420	8319
503	8436	8302
504	8452	8284
505	8468	8267
506	8484	8249
507	8501	8233
508	8519	8218
509	8535	8200
510	8551	8183
511	8567	8165
512	8583	8148
513	8598	8130
514	8614	8113
515	8632	8097
516	8649	8080
517	8665	8063
518	8684	8048
519	8701	8032
520	8717	8015
521	8734	7998
522	8751	7982
523	8769	7966
524	8784	7948
525	8801	7930
526	8818	7915
527	8837	7900
528	8854	7883
529	8872	7868
530	8890	7852
531	8905	7834
532	8921	7817
533	8936	7798
534	8957	7785
535	8974	7768
536	8991	7752
537	9008	7735
538	9029	7722
539	9047	7707
540	9066	7692
541	9086	7677
542	9102	7661
543	9120	7645
544	9137	7628
545	9154	7612
546	9173	7597
547	9191	7581
548	9207	7563
549	9221	7544
550	9239	7529
551	9255	7512
552	9274	7496
553	9291	7479
554	9308	7463
555	9325	7447
556	9341	7429
557	9359	7413
558	9375	7396
559	9390	7378
560	9407	7361
561	9425	7345
562	9441	7328
563	9458	7311
564	9474	7294
565	9493	7279
566	9510	7262
567	9524	7244
568	9542	7228
569	9558	7211
570	9578	7196
571	9593	7178
572	9611	7162
573	9626	7144
574	9643	7127
575	9661	7111
576	9678	7095
577	9695	7079
578	9714	7063
579	9728	7044
580	9745	7027
581	9761	7011
582	9777	6993
583	9796	6977
584	9811	6960
585	9827	6942
586	9843	6925
587	9860	6909
588	9879	6893
589	9896	6877
590	9912	6860
591	9931	6844
592	9948	6827
593	9964	6810
594	9981	6793
595	9998	6777
596	10016	6761
597	10034	6745
598	10050	6728
599	10066	6711
600	10084	6694
601	10103	6679
602	10120	6662
603	10135	6645
604	10152	6628
605	10169	6611
606	10185	6594
607	10203	6578
608	10220	6562
609	10236	6544
610	10251	6526
611	10267	6509
612	10286	6494
613	10302	6476
614	10319	6460
615	10335	6443
616	10352	6426
617	10367	6408
618	10385	6392
619	10403	6376
620	10419	6359
621	10435	6341
622	10452	6325
623	10468	6307
624	10485	6291
625	10501	6274
626	10518	6257
627	10534	6240
628	10549	6222
629	10565	6204
630	10582	6188
631	10598	6171
632	10616	6154
633	10632	6137
634	10649	6121
635	10664	6103
636	10680	6086
637	10698	6070
638	10715	6053
639	10731	6036
640	10748	6019
641	10766	6003
642	10782	5986
643	10798	5969
644	10812	5951
645	10830	5935
646	10849	5919
647	10866	5902
648	10883	5886
649	10898	5868
650	10915	5851
651	10929	5833
652	10947	5817
653	10967	5802
654	10982	5784
655	10998	5767
656	11017	5751
657	11034	5735
658	11050	5718
659	11067	5701
660	11083	5684
661	11100	5667
662	11116	5650
663	11135	5634
664	11153	5618
665	11170	5602
666	11189	5586
667	11207	5570
668	11226	5554
669	11241	5536
670	11260	5521
671	11276	5504
672	11293	5487
673	11309	5470
674	11324	5452
675	11344	5437
676	11362	5421
677	11378	5403
678	11394	5386
679	11412	5370
680	11428	5353
681	11446	5337
682	11464	5320
683	11479	5303
684	11496	5286
685	11515	5271
686	11533	5254
687	11554	5239
688	11568	5221
689	11586	5205
690	11596	5185
691	11613	5169
692	11628	5151
693	11645	5134
694	11660	5117
695	11678	5100
696	11696	5084
697	11714	5068
698	11734	5052
699	11750	5035
700	11766	5018
701	11785	5002
702	11803	4986
703	11821	4970
704	11836	4952
705	11855	4936
706	11872	4920
707	11890	4903
708	11904	4886
709	11923	4870
710	11942	4854
711	11958	4837
712	11975	4820
713	11991	4803
714	12008	4786
715	12024	4769
716	12042	4753
717	12059	4736
718	12078	4720
719	12093	4702
720	12110	4686
721	12128	4670
722	12146	4653
723	12163	4636
724	12178	4619
725	12196	4602
726	12214	4586
727	12230	4569
728	12246	4552
729	12264	4536
730	12281	4519
731	12298	4502
732	12314	4485
733	12333	4469
734	12351	4453
735	12365	4435
736	12384	4419
737	12401	4402
738	12417	4385
739	12435	4369
740	12451	4352
741	12469	4335
742	12486	4319
743	12503	4302
744	12519	4285
745	12537	4268
746	12555	4252
747	12571	4235
748	12587	4218
749	12604	4201
750	12621	4184
751	12638	4167
752	12654	4151
753	12672	4134
754	12688	4117
755	12704	4100
756	12719	4083
757	12735	4066
758	12751	4049
759	12770	4032
760	12789	4016
761	12804	3999
762	12820	3982
763	12837	3965
764	12853	3948
765	12871	3932
766	12888	3915
767	12904	3898
768	12921	3881
769	12937	3864
770	12952	3847
771	12970	3830
772	12988	3814
773	13005	3797
774	13023	3781
775	13039	3763
776	13053	3746
777	13072	3730
778	13089	3713
779	13106	3696
780	13119	3678
781	13136	3662
782	13153	3645
783	13170	3628
784	13189	3612
785	13206	3595
786	13224	3579
787	13241	3562
788	13258	3545
789	13274	3528
790	13291	3511
791	13307	3494
792	13325	3478
793	13339	3460
794	13355	3443
795	13370	3426
796	13386	3409
797	13403	3392
798	13422	3376
799	13440	3360
800	13457	3343
801	13474	3326
802	13489	3309
803	13507	3292
804	13523	3275
805	13540	3259
806	13557	3242
807	13574	3225
808	13590	3208
809	13607	3191
810	13624	3175
811	13642	3158
812	13660	3142
813	13675	3124
814	13693	3108
815	13709	3091
816	13725	3074
817	13741	3057
818	13758	3040
819	13774	3023
820	13791	3006
821	13807	2989
822	13824	2973
823	13840	2956
824	13858	2939
825	13874	2922
826	13893	2906
827	13909	2889
828	13928	2873
829	13942	2855
830	13960	2839
831	13977	2822
832	13993	2805
833	14010	2788
834	14026	2771
