iter	Logloss
0	0.6226721328
1	0.5610558947
2	0.5096480916
3	0.468110279
4	0.4312088325
5	0.4013656826
6	0.3889269141
7	0.3684030215
8	0.3605707564
9	0.3432365708
10	0.3305657956
11	0.3201934383
12	0.3103676242
13	0.3019019934
14	0.2956336053
15	0.2901612871
16	0.2853978033
17	0.2816424985
18	0.2782939641
19	0.2750214597
20	0.2722324399
21	0.2697267949
22	0.2677132293
23	0.2654587077
24	0.2634325085
25	0.2618168632
26	0.260470552
27	0.2594756549
28	0.2585073288
29	0.257378306
30	0.2565008755
31	0.2557044446
32	0.2550073558
33	0.2544195245
34	0.253484461
35	0.2529858313
36	0.2523446747
37	0.2513591647
38	0.2505067302
39	0.2500155598
40	0.249505132
41	0.2489051351
42	0.2485506032
43	0.2482295453
44	0.2478294034
45	0.2474258968
46	0.246885562
47	0.246505397
48	0.2461726009
49	0.2459347228
50	0.2456823185
51	0.2452630472
52	0.2450247475
53	0.2447433834
54	0.2445524372
55	0.2441813927
56	0.2440267709
57	0.2433803433
58	0.2432138451
59	0.2429344688
60	0.2427510001
61	0.2425062645
62	0.2423428003
63	0.2419924948
64	0.2417943402
65	0.2416415857
66	0.2414696868
67	0.2410635331
68	0.2408696377
69	0.2407032242
70	0.2405634301
71	0.2404152544
72	0.2402376711
73	0.2401258278
74	0.2397905027
75	0.2395855719
76	0.2391923511
77	0.2388278892
78	0.2386692746
79	0.2385308011
80	0.238325101
81	0.2381658406
82	0.2380731275
83	0.2377956101
84	0.2375394847
85	0.2374396156
86	0.2373295198
87	0.237170776
88	0.2369883313
89	0.2366751167
90	0.2364819836
91	0.2363290993
92	0.2360791283
93	0.2359251891
94	0.2357958431
95	0.2356864051
96	0.2355462229
97	0.2354655296
98	0.2352489782
99	0.2351694963
100	0.2350342031
101	0.2349495925
102	0.2348872384
103	0.2347366184
104	0.2346375514
105	0.2345317736
106	0.2343944377
107	0.234264597
108	0.2341860058
109	0.2340942528
110	0.2339537789
111	0.233877391
112	0.2337977788
113	0.2337189865
114	0.2335616438
115	0.2334555823
116	0.2333995823
117	0.2332950265
118	0.2332950246
119	0.2332183227
120	0.2331342301
121	0.2331264993
122	0.2330171613
123	0.2330118391
124	0.2328117916
125	0.232776219
126	0.2326779604
127	0.2325940528
128	0.2325280131
129	0.232443941
130	0.232368322
131	0.2322824047
132	0.2322791967
133	0.2321089643
134	0.2319655078
135	0.231886522
136	0.2318110217
137	0.2317682061
138	0.2316708458
139	0.231654239
140	0.2316419551
141	0.2315564761
142	0.2314759634
143	0.2314223468
144	0.231303718
145	0.2312069362
146	0.2310817727
147	0.2310358292
148	0.230927971
149	0.230820707
150	0.2307818518
151	0.2307123223
152	0.2306314835
153	0.2306249029
154	0.2304643194
155	0.2303332996
156	0.2302892831
157	0.2302146668
158	0.2302035566
159	0.2301181243
160	0.2301063903
161	0.2300234421
162	0.2299558511
163	0.2298795339
164	0.2297938398
165	0.2297100132
166	0.2294533004
